Table/View Name,Column Name,Data Type
MasterApprovedBoschOH,BusinessUnit,bigint
MasterApprovedBoschOH,LocationMode,int
MasterApprovedBoschOH,CostDifference,decimal
MasterApprovedBoschOH,CreatedOn,datetimeoffset
MasterApprovedBoschOH,CreatedBy,nvarchar
MasterApprovedBoschOH,ModifiedOn,datetimeoffset
MasterApprovedBoschOH,ModifiedBy,nvarchar
MasterApprovedBoschOH,IsDeleted,bit
MasterApprovedBoschOH,Version,timestamp
MasterApprovedBoschRateCard,Id,uniqueidentifier
MasterApprovedBoschRateCard,BoschRateCardId,uniqueidentifier
MasterApprovedBoschRateCard,CompanyId,uniqueidentifier
MasterApprovedBoschRateCard,SkillsetId,uniqueidentifier
MasterApprovedBoschRateCard,ValidityStart,datetime
MasterApprovedBoschRateCard,ValidityEnd,datetime
MasterApprovedBoschRateCard,CreatedOn,datetimeoffset
MasterApprovedBoschRateCard,CreatedBy,nvarchar
MasterApprovedBoschRateCard,ModifiedOn,datetimeoffset
MasterApprovedBoschRateCard,ModifiedBy,nvarchar
MasterApprovedBoschRateCard,IsDeleted,bit
MasterApprovedBoschRateCard,Version,timestamp
MasterApprovedBoschRateCard,Grade0,decimal
MasterApprovedBoschRateCard,Grade1,decimal
MasterApprovedBoschRateCard,Grade2,decimal
MasterApprovedBoschRateCard,Grade3,decimal
MasterApprovedBoschRateCard,Grade4,decimal
MasterApprovedBoschRateCard,CurrencyId,uniqueidentifier
MasterApprovedBuHot,Id,uniqueidentifier
MasterApprovedBuHot,BuHotId,uniqueidentifier
MasterApprovedBuHot,BuId,bigint
MasterApprovedBuHot,HotName,nvarchar
MasterApprovedBuHot,ValidityStart,datetime
MasterApprovedBuHot,ValidityEnd,datetime
MasterApprovedBuHot,CreatedOn,datetimeoffset
MasterApprovedBuHot,CreatedBy,nvarchar
MasterApprovedBuHot,ModifiedOn,datetimeoffset
MasterApprovedBuHot,ModifiedBy,nvarchar
MasterApprovedBuHot,IsDeleted,bit
MasterApprovedBuHot,Version,timestamp
MasterApprovedBuHot,CompanyId,uniqueidentifier
MasterApprovedBuSPOC,Id,uniqueidentifier
MasterApprovedBuSPOC,BuSpocId,uniqueidentifier
MasterApprovedBuSPOC,BuId,bigint
MasterApprovedBuSPOC,SpocName,nvarchar
MasterApprovedBuSPOC,ValidityStart,datetime
MasterApprovedBuSPOC,ValidityEnd,datetime
MasterApprovedBuSPOC,CreatedOn,datetimeoffset
MasterApprovedBuSPOC,CreatedBy,nvarchar
MasterApprovedBuSPOC,ModifiedOn,datetimeoffset
MasterApprovedBuSPOC,ModifiedBy,nvarchar
MasterApprovedBuSPOC,IsDeleted,bit
MasterApprovedBuSPOC,Version,timestamp
MasterApprovedBuSPOC,CompanyId,uniqueidentifier
MasterApprovedGBBusinessArea,Id,uniqueidentifier
MasterApprovedGBBusinessArea,GBBusinessAreaId,uniqueidentifier
MasterApprovedGBBusinessArea,GbCode,nvarchar
MasterApprovedGBBusinessArea,GBDescription,nvarchar
MasterApprovedGBBusinessArea,BusinessSector,nvarchar
MasterApprovedGBBusinessArea,CreatedOn,datetimeoffset
MasterApprovedGBBusinessArea,CreatedBy,nvarchar
