Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type,,Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Resource Management,vw_MasterEmployees,District,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,District,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,WardTown,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,WardTown,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,Region,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,Region,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,CountryKey,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,CountryKey,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,TelephoneNumber,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,TelephoneNumber,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,Email,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,Email,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,NameOfManager,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,NameOfManager,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,CreatedOn,datetimeoffset,,Vendor Management,Resource Management,vw_MasterEmployees,CreatedOn,datetimeoffset
Vendor Management,Resource Management,vw_MasterEmployees,CreatedBy,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,CreatedBy,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,ModifiedOn,datetimeoffset,,Vendor Management,Resource Management,vw_MasterEmployees,ModifiedOn,datetimeoffset
Vendor Management,Resource Management,vw_MasterEmployees,ModifiedBy,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,ModifiedBy,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,Id,uniqueidentifier,,Vendor Management,Resource Management,vw_MasterEmployees,Id,uniqueidentifier
Vendor Management,Resource Management,vw_MasterEmployees,SectionId,bigint,,Vendor Management,Resource Management,vw_MasterEmployees,SectionId,bigint
Vendor Management,Resource Management,vw_MasterEmployees,SectionName,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,SectionName,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,DepartmentId,bigint,,Vendor Management,Resource Management,vw_MasterEmployees,DepartmentId,bigint
Vendor Management,Resource Management,vw_MasterEmployees,DepartmentName,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,DepartmentName,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,GroupId,bigint,,Vendor Management,Resource Management,vw_MasterEmployees,GroupId,bigint
Vendor Management,Resource Management,vw_MasterEmployees,GroupName,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,GroupName,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,BUId,bigint,,Vendor Management,Resource Management,vw_MasterEmployees,BUId,bigint
Vendor Management,Resource Management,vw_MasterEmployees,BUName,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,BUName,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,CostCenterId,uniqueidentifier,,Vendor Management,Resource Management,vw_MasterEmployees,CostCenterId,uniqueidentifier
Vendor Management,Resource Management,vw_MasterEmployees,CostCenterCode,nvarchar,,Vendor Management,Resource Management,vw_MasterEmployees,CostCenterCode,nvarchar
Vendor Management,Resource Management,vw_MasterEmployees,CompanyId,uniqueidentifier,,Vendor Management,Resource Management,vw_MasterEmployees,CompanyId,uniqueidentifier
Vendor Management,Resource Management,vw_MasterEmployees,IsActive,bit,,Vendor Management,Resource Management,vw_MasterEmployees,IsActive,bit
Vendor Management,Resource Management,OnboardingResourceRequest,Id,uniqueidentifier
Vendor Management,Resource Management,OnboardingResourceRequest,OnboardingRequestId,varchar
Vendor Management,Resource Management,OnboardingResourceRequest,StatusID,int
Vendor Management,Resource Management,OnboardingResourceRequest,IsISPtrainingCompleted,bit
Vendor Management,Resource Management,OnboardingResourceRequest,IsBGVcompletedandPassed,bit
Vendor Management,Resource Management,OnboardingResourceRequest,IsConfirmDeclaration,bit
Vendor Management,Resource Management,OnboardingResourceRequest,FirstApproverNtId,nvarchar
Vendor Management,Resource Management,OnboardingResourceRequest,SecondApproverNtId,nvarchar
Vendor Management,Resource Management,OnboardingResourceRequest,IsFirstLevelApproved,bit
Vendor Management,Resource Management,OnboardingResourceRequest,CreatedOn,datetimeoffset
Vendor Management,Resource Management,OnboardingResourceRequest,CreatedBy,nvarchar
Vendor Management,Resource Management,OnboardingResourceRequest,ModifiedOn,datetimeoffset
Vendor Management,Resource Management,OnboardingResourceRequest,ModifiedBy,nvarchar
Vendor Management,Resource Management,OnboardingResourceRequest,IsDeleted,bit
Vendor Management,Resource Management,OnboardingResourceRequest,BgvStatusID,int
Vendor Management,Resource Management,OnboardingResourceRequest,GbCode,nvarchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,Id,uniqueidentifier
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,SowJdId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,VendorId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,StartDate,date
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,EndDate,date
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,CreatedDate,date
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,CreatedBy,nvarchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,Remarks,nvarchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,Status,smallint
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,RfqId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,isSpocSignedOff,bit
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,isVendorSignedOff,bit
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,isDMSignedOff,bit
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,modifiedOn,datetime
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,modifiedBy,varchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,TechnicalProposalNumber,varchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,secspocActionBy,nvarchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,DMActionBy,nvarchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,InitateSignOff,bit
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,creator,varchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,RecordOwner,varchar
Vendor Management,Resource Management,SOWJD_TP_TechnicalProposalDetails,ManagedCapacity,nvarchar
Vendor Management,Resource Management,SOWJD_SRN,Id,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,BillingPeriodId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,VendorId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,PurchaseOrderId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,SowJdId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,SRNType,varchar
Vendor Management,Resource Management,SOWJD_SRN,CreatedOn,datetimeoffset
Vendor Management,Resource Management,SOWJD_SRN,CreatedBy,nvarchar
Vendor Management,Resource Management,SOWJD_SRN,ModifiedOn,datetimeoffset
Vendor Management,Resource Management,SOWJD_SRN,ModifiedBy,nvarchar
Vendor Management,Resource Management,SOWJD_SRN,IsDeleted,bit
Vendor Management,Resource Management,SOWJD_SRN,Version,timestamp
Vendor Management,Resource Management,SOWJD_SRN,DM,varchar
Vendor Management,Resource Management,SOWJD_SRN,SRNNumber,varchar
Vendor Management,Resource Management,SOWJD_SRN,TechnicalProposalId,uniqueidentifier
Vendor Management,Resource Management,SOWJD_SRN,SRNStatusID,int
Vendor Management,Resource Management,SOWJD_SRN,InvoiceId,varchar
Vendor Management,Resource Management,SOWJD_SRN,SRNTypeID,int
Vendor Management,Resource Management,SOWJD_SRN,SRNValue,decimal
Vendor Management,Resource Management,SOWJD_SRN,TotalPMO,decimal
Vendor Management,Resource Management,SOWJD_SRN,ApproverEmployeeNumber,bigint
Vendor Management,Resource Management,SOWJD_SRN,RecordOwner,varchar
Vendor Management,Resource Management,SOWJD_SRN,SectionSpoc,varchar
Vendor Management,Resource Management,SOWJD_SRN,L1DeligationCount,int
Vendor Management,Resource Management,SOWJD_SRN,L2DeligationCount,int
Vendor Management,Resource Management,SOWJD_SRN,SectionSPOCApproval,varchar
Vendor Management,Resource Management,SOWJD_SRN,ApprovalDM,varchar
Vendor Management,Resource Management,SOWJD_SRN,ApprovalSecSpoc,varchar
Vendor Management,Resource Management,SOWJD_SRN,SRNBillingYear,int
