Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,CreatedBy,nvarchar
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,ModifiedBy,nvarchar
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,IsDeleted,bit
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,Version,timestamp
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,UnitPrice,decimal
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,UnitOfMeasurement,nvarchar
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,Quantity,int
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,Duration,int
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,SowjdSkillsetId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,IsOnboardingCompleted,bit
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,Remark,nvarchar
Vendor Management,Contract Management,SOWJD_TP_ResourcePlan,ResourceOnboardCompleted,int
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,Id,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,SowJdId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,VendorId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,StartDate,date
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,EndDate,date
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,CreatedDate,date
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,CreatedBy,nvarchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,Remarks,nvarchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,Status,smallint
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,RfqId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,isSpocSignedOff,bit
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,isVendorSignedOff,bit
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,isDMSignedOff,bit
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,modifiedOn,datetime
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,modifiedBy,varchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,TechnicalProposalNumber,varchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,secspocActionBy,nvarchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,DMActionBy,nvarchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,InitateSignOff,bit
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,creator,varchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,RecordOwner,varchar
Vendor Management,Contract Management,SOWJD_TP_TechnicalProposalDetails,ManagedCapacity,nvarchar
Vendor Management,Contract Management,vw_SOWJD,Id,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,CompanyId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,CurrentYear,int
Vendor Management,Contract Management,vw_SOWJD,SowJdNumber,varchar
Vendor Management,Contract Management,vw_SOWJD,SowJdTypeId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,Description,varchar
Vendor Management,Contract Management,vw_SOWJD,CustomerTypeId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,CustomerName,varchar
Vendor Management,Contract Management,vw_SOWJD,WbsId,uniqueidentifier
Vendor Management,Contract Management,vw_SOWJD,InternalResourceCheckdone,smallint
Vendor Management,Contract Management,vw_SOWJD,IsCustomerApprovalAvailable,smallint
Vendor Management,Contract Management,vw_SOWJD,IsprojectGDPRRelevant,smallint
Vendor Management,Contract Management,vw_SOWJD,IsStandardGPAIsSufficient,smallint
Vendor Management,Contract Management,vw_SOWJD,C2PAgreement,smallint
