Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,,EnricoEntities,EntityName,nvarchar
Vendor Management,,EnricoEntities,EntityFullName,nvarchar
Vendor Management,,EnricoEntities,CreatedOn,datetimeoffset
Vendor Management,,EnricoEntities,CreatedBy,nvarchar
Vendor Management,,EnricoEntities,ModifiedOn,datetimeoffset
Vendor Management,,EnricoEntities,ModifiedBy,nvarchar
Vendor Management,,EnricoEntities,IsDeleted,bit
Vendor Management,,EnricoEntities,CompanyCode,nvarchar
Vendor Management,,EnricoEntityAdmins,Id,uniqueidentifier
Vendor Management,,EnricoEntityAdmins,EntityId,uniqueidentifier
Vendor Management,,EnricoEntityAdmins,EntityAdminUser,nvarchar
Vendor Management,,EnricoEntityAdmins,EntityAdminStatus,bit
Vendor Management,,EnricoEntityAdmins,CreatedOn,datetimeoffset
Vendor Management,,EnricoEntityAdmins,CreatedBy,nvarchar
Vendor Management,,EnricoEntityAdmins,ModifiedOn,datetimeoffset
Vendor Management,,EnricoEntityAdmins,ModifiedBy,nvarchar
Vendor Management,,EnricoEntityAdmins,IsDeleted,bit
Vendor Management,,EnricoFeatures,Id,uniqueidentifier
Vendor Management,,EnricoFeatures,ModuleId,uniqueidentifier
Vendor Management,,EnricoFeatures,FeatureName,nvarchar
Vendor Management,,EnricoFeatures,FeatureDescription,nvarchar
Vendor Management,,EnricoFeatures,UrlPath,nvarchar
Vendor Management,,EnricoFeatures,CreatedOn,datetimeoffset
Vendor Management,,EnricoFeatures,CreatedBy,nvarchar
Vendor Management,,EnricoFeatures,ModifiedOn,datetimeoffset
Vendor Management,,EnricoFeatures,ModifiedBy,nvarchar
Vendor Management,,EnricoFeatures,IsDeleted,bit
Vendor Management,,EnricoFeatures,FeatureCode,nvarchar
Vendor Management,,EnricoFeatures,FeatureNumber,nvarchar
Vendor Management,,EnricoModules,Id,uniqueidentifier
Vendor Management,,EnricoModules,ModuleName,nvarchar
Vendor Management,,EnricoModules,ModuleIcon,nvarchar
Vendor Management,,EnricoModules,ModuleDescription,nvarchar
Vendor Management,,EnricoModules,UrlPath,nvarchar
Vendor Management,,EnricoModules,CreatedOn,datetimeoffset
Vendor Management,,EnricoModules,CreatedBy,nvarchar
Vendor Management,,EnricoModules,ModifiedOn,datetimeoffset
Vendor Management,,EnricoModules,ModifiedBy,nvarchar
Vendor Management,,EnricoModules,IsDeleted,bit
Vendor Management,,EnricoModules,IsBelongToVendor,bit
Vendor Management,,EnricoNotification,Id,uniqueidentifier
Vendor Management,,EnricoNotification,EntityId,uniqueidentifier
Vendor Management,,EnricoNotification,FeatureId,uniqueidentifier
Vendor Management,,EnricoNotification,DataObjectId,nvarchar
Vendor Management,,EnricoNotification,NotificationTitle,nvarchar
Vendor Management,,EnricoNotification,NotificationDescription,nvarchar
Vendor Management,,EnricoNotification,CreatedOn,datetime
Vendor Management,,EnricoNotification,CreatedBy,nvarchar
Vendor Management,,EnricoNotification,ModifiedOn,datetime
Vendor Management,,EnricoNotification,ModifiedBy,nvarchar
Vendor Management,,EnricoNotification,IsDeleted,bit
Vendor Management,,EnricoNotificationSentDetails,Id,uniqueidentifier
Vendor Management,,EnricoNotificationSentDetails,NotificationId,uniqueidentifier
Vendor Management,,EnricoNotificationSentDetails,NTID,nvarchar
Vendor Management,,EnricoNotificationSentDetails,IsSeen,bit
Vendor Management,,EnricoNotificationSentDetails,CreatedOn,datetime
Vendor Management,,EnricoNotificationSentDetails,CreatedBy,nvarchar
Vendor Management,,EnricoNotificationSentDetails,ModifiedOn,datetime
Vendor Management,,EnricoNotificationSentDetails,ModifiedBy,nvarchar
Vendor Management,,EnricoNotificationSentDetails,IsDeleted,bit
Vendor Management,,EnricoPermission,Id,int
